DimV_SK,violation,violdesc,violdttm,violstatus,statusdate,result,resultdttm,comments
100051,29-5-201/02.11,Installed and Maintained,2018-06-05 08:36:18,Fail,,HE_Fail,2018-06-05 08:36:18,Hot water at hand sink on serving line/prep area 86 F - Must maintain 110 F - Plumber called  responded and corrected hot water issue. At end of inspection hot water was 113 F
100052,30-5-203.14,Cross Connection Back Siphonage  Backflow,2012-06-20 13:49:40,Fail,,HE_Fail,2012-06-20 13:49:40,Hose connected directly to water supply with no evidence of a backflow preventor. Discontinue use or provide a backflow preventor.
100053,31-5-203.11,Number  Convenient,2011-11-09 11:58:42,Fail,,HE_Fail,2011-11-09 11:58:42,Provide proper handwash sink in basement food prep area.
100054,31-5-204/05.11,Location  Accessible,2019-05-07 14:57:03,Fail,,HE_Fail,2019-05-07 14:57:03,Discontinue to block hand sink in warewashing.
100055,32-6-301.11-02.11,Hand Cleaner  Drying  Tissue Signage,2016-09-22 13:41:20,Fail,,HE_Fail,2016-09-22 13:41:20,"Provide ""Please use utensil signage"" at all self service stations."
100056,32-6-501.11-.12/6-202.14,Toilet Enclosed Clean,2012-10-12 10:11:38,Fail,,HE_Fail,2012-10-12 10:11:38,adjust handsinks in restrooms to run minimum 20 seconds
100057,33-5-501.116,Improper Cleaning of Receptacles,2012-03-01 12:59:06,Fail,,HE_Fail,2012-03-01 12:59:06,Clean dumpster area
100058,33-5-501.13-.17,Adequate Number  Frequency Vermin Proof,2018-06-01 09:20:27,Fail,,HE_Fail,2018-06-01 09:20:27,provide covers for all trash receptacles.
100059,34-5-501.111/.115,Outside Storage Improperly Maintained,2017-10-25 14:36:29,Fail,,HE_Fail,2017-10-25 14:36:29,Clean trash barrels frm all loose debris
100060,35-6-501.111/.115,Insects  Rodents  Animals,2017-05-10 11:36:14,Fail,,HE_Fail,2017-05-10 11:36:14,Rodent droppings on dry storage shelving in back hallway. Provide updated pest control report upon reinspection.
100061,36-6-201.11,Floors Designed Constructed Installed,2018-06-01 09:20:27,Fail,,HE_Fail,2018-06-01 09:20:27,clean floor throughout as needed.
100062,36-6-501.11-.12,Improper Maintenance of Floors,2016-09-22 13:41:20,Fail,,HE_Fail,2016-09-22 13:41:20,Clean to remove evidence of rodent droppings in the food storage room and employee womens rest room area.
100063,37-6-201.11,Walls/Ceilings Designed Constructed Installed,2016-03-25 13:16:46,Fail,,HE_Fail,2016-03-25 13:16:46,Dry storage for dry food goods in rear hallway with flaking paint. Resurface to maintain smooth  durable  non porous and easily cleanable. Grease trap cover appears to be rusted with buildup. Clean and resurface. Walls in dish area with food spatters and
100064,37-6-501.11-.12,Improper Maintenance of Walls/Ceilings,2019-05-07 14:57:03,Fail,,HE_Fail,2019-05-07 14:57:03,Clean hood filters on cookline.
100065,38-6-202.11,"Fixture's not properly shielded",2007-08-29 15:35:08,Fail,,HE_Fail,2007-08-29 10:39:13,Light shield broken -prep area.
100066,38-6-303.11,Inadequate Lighting,2007-08-29 15:35:08,Fail,,HE_Fail,2007-08-29 10:39:13,Replace broken light fixture -prep area.
100067,39-6-304.11,Rooms and Equipment Vented,2016-03-02 13:13:13,Fail,,HE_Fail,2016-03-02 13:13:13,Large amount of steam buildup in lower prep area and dish machine area.Provide proper ventilation for all areas.PIC states they are addressing the issue.
100068,40-6-305.11,Dressing Rooms Clean/Lockers Provided,2014-04-28 10:39:03,Fail,,HE_Fail,2014-04-28 10:39:03,relocate all street clothing from kitchen area...
100069,41-7-101.11,Toxic Items: Original Container,2010-10-29 10:15:58,Fail,,HE_Fail,2010-10-29 10:15:58,Remove all paint Cans from storage throughout
100070,41-7-102.11,Labeled  Common Name,2008-07-08 08:44:44,Fail,,HE_Fail,2008-07-07 13:14:17,Plastic Battle of detergent not labeled.
100071,41-7-201/04.11,Separation/Sanitizer Criteria,2014-01-30 11:51:36,Fail,,HE_Fail,2014-01-30 11:51:36,chlorine not registering in low temperature machine at bar  repair
100072,41-7-206.12/.13,Pesticide Usage,2014-10-08 13:23:31,Fail,,HE_Fail,2014-10-08 13:23:31,There are cans of raid in the basement.  Remove all pesticides and make srue that any pesticide application is done by a licensed exterminator.
100073,41-7-207-09.11,Medicines  FirstAid Storage,2007-10-25 15:42:16,Fail,,HE_Fail,2007-10-25 10:57:22,medicene stored in prep area
100074,42-5-203.13,Mop Sink not Provided,2018-07-31 15:34:38,Fail,,HE_Fail,2018-07-31 15:34:38,No mop sink on site. Observed worker dump soiled water into street off trash storage area. Discontinue. Dispose of grey water in toilet until mop sink can be provided.
100075,42-6-501.113/.114,Premises Maintained,2014-01-30 13:55:13,Fail,,HE_Fail,2014-01-30 13:55:13,Elevate soiled mop off the floor when not in use
100076,43-6-202.111/.112,Living/Sleeping Quaters/Laundry,2008-02-28 15:19:48,Fail,,HE_Fail,2008-02-28 12:40:50,provide proper storage of all employee clothing
100077,44-4-802/03.11,Soiled Linen Storage,2016-02-17 12:52:46,Fail,,HE_Fail,2016-02-17 12:52:46,Soiled rags and aprons discarded on the floor - stora as discussed
100078,44-903.11,Proper storage of clean linen,2017-08-17 14:26:19,Fail,,HE_Fail,2017-08-17 14:26:19,Carpet stored on top shelf above clean linen - Basement
100079,45-3-801.11,Food Restrictions & Preparation,2007-07-18 14:55:55,Fail,,HE_Fail,2007-07-17 14:50:40,""
100080,46-CH-111,Public Nuisance,2016-02-03 13:48:51,Fail,,HE_Fail,2016-02-03 13:48:51,Complaint made concerning outdoor smoker machine causing smoke to adjacent residences. Cease all  outdoor cooking operations immediately. Seek approval from authorities for outside cooking operations.
100081,590.002(A)/2-101.11-PF,Assignment (Pf),2021-01-06 14:02:56,Pass,2021-01-06 15:16:20,HE_Pass,2021-01-06 14:02:56,CFPM Hung Duong was unable to describe cooling procedures  had no knowledge of how foods are prepared. No illness policy and not all symptoms known.
100082,590.002(B)/2-102.11-PF,(A)  (B) and (C)(1)  (4)-(16) Demonstration (Pf),2021-09-22 15:47:31,Fail,,HE_Fail,2021-09-22 15:47:31,"No food safety or allergen awareness certificates on site - PIC and the management team were unaware of the COVID-19 mask wearing rules and regulations in the City of Boston that had statred back in Aiugust 2021. No signage on the front door or anywhere "
100083,590.002(C)/2-102.12-C,(A) Certified Food Protection Manager (C),2020-09-25 12:47:12,Fail,,HE_Fail,2020-09-25 12:47:12,provide allergen certificate for certified food manager
100084,590.002(D)/2-103.11-PF,(A)-(P) Person-In-Charge-Duties (Pf),2022-01-19 14:41:20,Fail,,HE_Fail,2022-01-19 14:41:20,They have not paid for their 2022 health permit.  Provide payment for the health permit.
100085,590.002(E)/2-201.11-P,(A) & (C) Responsibility of Permit Holder  Person in Charge  and Conditional Employees (P),2020-07-16 10:45:50,Fail,,HE_Fail,2020-07-16 10:45:50,Management did not report ill staff to the health department. Illness policy handout provided.
100086,590.002(E)/2-201.11-PF,(B) & (E) Responsibility of Permit Holder  Person in Charge  and Conditional Employees (Pf ),2019-10-08 12:05:12,Fail,,HE_Fail,2019-10-08 12:05:12,""
100087,590.002(F)/2-201.13-P,Removal  Adjustment  or Retention of Exclusions & Restrictions (P),2019-08-07 10:35:54,Fail,,HE_Fail,2019-08-07 10:35:54,provide employee illness reporting agreement.
100088,590.002/2-102.11-PF,(C)(2) (3) and (17) Demonstration (Pf),2021-12-01 12:06:31,Fail,,HE_Fail,2021-12-01 12:06:31,Person in charge has no knowledge of employee illness policy. Learn and re-train all staff.
100089,590.002/2-103.11-PF,(O) Person in Charge-Duties (Pf),2020-01-02 12:06:58,Fail,,HE_Fail,2020-01-02 12:06:58,There is no proof that employees have been trained in employee illness or reporting.  Properly trian all the employees.
100090,590.002/2-201.11-P,(D) and (F) Responsibility of Permit Holder  Person in Charge  and Conditional Employees Responsibility of the PIC to Exclude or Restrict (P),2020-11-03 10:25:39,Fail,,HE_Fail,2020-11-03 10:25:39,Owner did not report illness to ISD health department as is required. Requirements provided to the owner via email.
100091,590.002/2-201.12-P,Exclusions & Restrictions (P),2022-02-07 13:49:11,Fail,,HE_Fail,2022-02-07 13:49:11,Child seated in the service area. Remove the child from the active food service area.
100092,590.002/2-301.11-P,Clean condition-Hands and Arms (P),2021-01-26 14:44:01,Fail,,HE_Fail,2021-01-26 14:44:01,PIC will need to monitor hand sink to be sure stocked with paper towels and soap at all times. Staff will need to be able to wash hand when needed.
100093,590.002/2-301.12-P,Cleaning Procedure (P),2019-07-23 12:02:51,Fail,,HE_Fail,2019-07-23 12:02:51,Provide paper towels at all hand sinks.
100094,590.002/2-301.14-P,When to Wash (P),2020-02-18 11:06:30,Fail,,HE_Fail,2020-02-18 11:06:30,Food workers are not washing hands with the proper frequency. Upon initial arrival  cookline handsink and warewashing handsink found without paper towels. Retrain staff.
100095,590.002/2-301.15-PF,Where to Wash (Pf),2021-09-28 17:22:41,Fail,,HE_Fail,2021-09-28 17:22:41,Observed employee washing hands in prep sink next to handsink. Discussed with PIC to inform employees to wash hands in handsinks only.
100096,590.002/2-301.16-PF,Hand Antiseptics (Pf),2019-07-02 13:12:18,Fail,,HE_Fail,2019-07-02 13:12:18,No soap at hand sink in restroom or back preparation area. Provide.
100097,590.002/2-303.11-C,Prohibition-Jewelry (C),2020-06-29 15:08:08,Fail,,HE_Fail,2020-06-29 15:08:08,""
100098,590.002/2-304.11-C,Clean Condition-Outer Clothing (C),2021-09-24 13:32:12,Fail,,HE_Fail,2021-09-24 13:32:12,Discontinue any open toe shoes while working or preparing foods
100099,590.002/2-401.11-C,Eating  Drinking  or Using Tobacco (C),2020-02-04 13:03:36,Fail,,HE_Fail,2020-02-04 13:03:36,Employees Coffee cup  at cookline .Remove
100100,590.002/2-402.11-C,Effectiveness-Hair Restraints (C),2019-11-22 17:32:36,Fail,,HE_Fail,2019-11-22 17:32:36,provide proper hair restraints
100101,590.002/2-403.11-PF,Handling Prohibition-Animals (Pf),2019-06-24 11:24:06,Fail,,HE_Fail,2019-06-24 11:24:06,There was a dog in the establishment.  The employees are only asking if it is a service animal they are tld by Starbuck corp. to not ask the second question about what service does the animal provide.  Train employees to ask both questions (left paperwor
100102,590.002/2-501.11-PF,Clean-up of Vomiting and Diarrheal Events (Pf),2019-10-08 12:05:12,Fail,,HE_Fail,2019-10-08 12:05:12,provide a vomit and diarrhea clean up kit.
100103,590.003(A)/3-201.11-C,Compliance with Food Law (C),2021-05-17 11:28:01,Fail,,HE_Fail,2021-05-17 11:28:01,"2 bags of raw fresh fish stored in grocery bags PIC says it's not for restaurant its for home advised she should store aware from food she prepares for the public. She stored in Homestyle freezer in basement.- Discontinue receiving fish from an unknown s"
100104,590.003(A)/3-201.11-P,Compliance with Food Law (P),2020-10-19 13:09:18,Fail,,HE_Fail,2020-10-19 13:09:18,Kimchi made at home on premises denatured and discarded 2lbs.
100105,590.003(A)/3-201.11-PF,Compliance with Food Law  (Pf),2021-02-05 12:37:03,Fail,,HE_Fail,2021-02-05 12:37:03,Several foods are being ourchased from retail facilities  discontinue and only purchase foods from a professionally licensed wholesale company as discussed
100106,590.003(B)/3-203.11-C,Molluscan Shellfish  Original Container (C),2021-09-28 10:38:31,Fail,,HE_Fail,2021-09-28 10:38:31,Raw oysters and cherry stones at pantry station with no tags with product. COS.
100107,590.003(C)/3-301.11-C,Preventing Contamination from Hands (C),2020-07-01 15:20:11,Fail,,HE_Fail,2020-07-01 15:20:11,Remove soiled utensils (2) from the hand sink to the left of the cookimg line to properly wash hands without restrictions
100108,590.003(C)/3-301.11-P,Preventing Contamination from Hands (P),2020-06-19 11:01:18,Fail,,HE_Fail,2020-06-19 11:01:18,Observed employees handling products during preparation with bare hands
100109,590.003(C)/3-301.11-PF,Preventing Contamination from Hands (Pf),2020-02-18 11:06:30,Fail,,HE_Fail,2020-02-18 11:06:30,Observed food worker touch ready to eat slaw mixture with bare hands at cookline. Product voluntarily discarded. COS.
100110,590.003(D)/3-501.19-C,Time as a Public Health Control ( C),2021-01-28 13:10:05,Fail,,HE_Filed,2021-01-28 13:10:05,Flat of raw shell eggs on top of the counter - discard practices and keep eggs cold at 41F or lower - can receive eggs at 45F but they must be refrigerated immediately- Eggs were at 41F - No cold holding violation  just bad retail practice - owner addres
100111,590.003(D)/3-501.19-P,Time as a Public Health Control (P),2021-01-27 11:27:42,Fail,,HE_Fail,2021-01-27 11:27:42,Lettuce and tomatoes held at ambient temps 62F lettuce  tomatoes 58f @9:30am. no logs to document when supposed to discard- please provide logs
100112,590.003(D)/3-501.19-PF,Time as a Public Health Control ( Pf),2022-01-24 10:54:32,Fail,,HE_Fail,2022-01-24 10:54:32,Establishment is using time rather than temperature to hold pizza slices at ambient room temperature. Discontinue until written procedures are submitted to ISD health division. Handouts provided via email.
100113,590.003/3-101.11-P,Safe  Unadulterated and Honestly Presented (P),2021-06-25 12:18:57,Fail,,HE_Fail,2021-06-25 12:18:57,Several fermented foods observed with lack of documented controls  improperly stored  and found in unapproved food contact surface containers. All unsafe fermented and ROP packaged foods discarded and denatured on site under disposal order. (See attached
100114,590.003/3-201.12-P,Food in a Hermetically Sealed Container (P),2020-12-15 14:26:49,Fail,,HE_Fail,2020-12-15 14:26:49,They are getting soups from their Somerville location that are appear to be cook chill and in reduced oxygen packaging.  Provide information about the approval of the source of the soup.
100115,590.003/3-201.14-P,Fish (P),2021-07-22 15:08:39,Fail,,HE_Fail,2021-07-22 15:08:39,2 Fish in plastic bag no label no instructions  when asked it was 2 Fish in plastic bag no labels  it was from someone fishing that was brought in- Discontinue using items that are not from an approved source.
100116,590.003/3-202.11-P,Temperature (P),2021-03-04 10:46:34,Fail,,HE_Fail,2021-03-04 10:46:34,"Rice noodles dropped off my ""Sun Hing Noodle 170 Lincoln Street Boston with a temperature of 87F. Product voluntarily discarded on site."
100117,590.003/3-202.110-P,Juice Treated-Commercially Processed (P),2021-09-16 13:48:53,Fail,,HE_Fail,2021-09-16 13:48:53,"""Fresh squeezed"" orange juice sold in self-service cooler without label indicating it is not pasteurized. Removed by PIC. Discontinue selling orange juice without proper labeling."
100118,590.003/3-202.110-PF,Juice Treated-Commercially Processed (Pf),2020-09-24 15:45:58,Fail,,HE_Fail,2020-09-24 15:45:58,They are getting pre-packaged juice from their location in another juristiction.  Provide information that the location is either under state wholesale or that the location is only providing this one additional location so it does not need to be under st
100119,590.003/3-202.12-P,Additives (P),2021-01-06 14:02:56,Pass,2021-01-06 15:16:20,HE_Pass,2021-01-06 14:02:56,Using food coloring that contain additives. Discontinue and ensure food grade colorant used.
100120,590.003/3-202.13-P,Eggs (P),2021-09-21 12:03:41,Fail,,HE_Fail,2021-09-21 12:03:41,Severalmcartons of raw eggs out for retail sale are visible compromised - go through each carton that has been compromised and discard any and all broken cracked and damaged cartons
100121,590.003/3-202.15-PF,Package Integrity (Pf),2020-12-04 16:55:44,Pass,2020-12-07 07:47:51,HE_Pass,2020-12-04 16:55:44,Observed 5 gallon bucket of tofu in plastic bag with no lid on back steps. Left there by delivery company. Ensure deliveries are received in proper condition.
100122,590.003/3-202.16-P,Ice (P),2019-11-21 20:02:21,Fail,,HE_Fail,2019-11-21 20:02:21,Clean inside the Ice machine from an accumulation of visible soils
100123,590.003/3-202.17-C,Shucked Shellfish  Packaging and Identification (C),2019-10-15 10:53:22,Fail,,HE_Fail,2019-10-15 10:53:22,Ensure all shellfish identification tags are kept on site for a minimum of 90 days  stored in chronological order as discussed during inspection
100124,590.003/3-202.17-PF,Shucked Shellfish  Packaging and Identification (Pf),2020-07-13 11:50:44,Fail,,HE_Fail,2020-07-13 11:50:44,No shell stock tags available for oysters and clams at the time of the inspection. Provide and maintain for a minimum of 90 days.
100125,590.003/3-202.18-C,Shell stock Identification (C),2020-02-06 13:08:18,Fail,,HE_Fail,2020-02-06 13:08:18,Clam store in service area  without tags.. PIC remove
100126,590.003/3-202.18-PF,Shell stock Identification (Pf),2021-11-30 13:37:29,Fail,,HE_Fail,2021-11-30 13:37:29,No last day served on shellfish tags. Provide date last served.
100127,590.003/3-203.12-PF,Shell stock  Maintaining Identification (Pf),2021-03-25 13:51:38,Fail,,HE_Fail,2021-03-25 13:51:38,They just received their delivery for the weekend and some of the shellstock bags were commingled.  Provide separation.  They are saving the tags for 90 days but not consistently marking the date the bag is emptied on the tag.  Properly mark the tags.
100128,590.003/3-302.11-C,Packaged and Unpackaged Food-Separation  Packaging  and Segregation  (C),2021-09-22 15:47:31,Fail,,HE_Fail,2021-09-22 15:47:31,Store raw shell weggs on the bottom shelves  underneath the fresh produce to reduce contamination
100129,590.003/3-302.11-P,Packaged and Unpackaged Food-Separation  Packaging  and Segregation (P),2021-05-12 14:57:42,Fail,,HE_Fail,2021-05-12 14:57:42,Observed thawing of both poultry and whole muscle meat together. PIC seperate/stored in reach in unit. Corrected on site
100130,590.003/3-302.12-C,Food Storage Containers Identified with Common Name of Food (C),2021-09-29 17:07:12,Fail,,HE_Fail,2021-09-29 17:07:12,Label to properly identify all bulk food containers in the back room storage area of the  basmnent
100131,590.003/3-302.13-P,Pasteurized Eggs Substituted for Raw Eggs for Certain Recipes (P),2021-01-06 14:02:56,Pass,2021-01-06 15:16:20,HE_Pass,2021-01-06 14:02:56,Discontinue using raw eggs for mayonnaise used on sandwiches
100132,590.003/3-302.15-C,Washing Fruits and Vegetables (C),2019-10-24 11:01:26,Fail,,HE_Fail,2019-10-24 11:01:26,Designate a sink as discussed to wash all produce
100133,590.003/3-302.15-PF,Washing Fruits and Vegetables (Pf),2019-09-09 10:57:17,Fail,,HE_Fail,2019-09-09 10:57:17,At the time of the inspection the vegetable wash tested at higher than recommended manufacturers specifications for concentration
100134,590.003/3-303.11-P,Ice Used as Exterior Coolant  Prohibited as Ingredient (P),2019-09-25 13:33:11,Fail,,HE_Fail,2019-09-25 13:33:11,Ice for soda station used also for cold holding of some bottled beverages. Separate properly.
100135,590.003/3-303.12-C,Storage or Display of Food in Contact with Water or Ice (C),2021-09-28 10:38:31,Fail,,HE_Fail,2021-09-28 10:38:31,Shellstock stored in pans of undrained ice. Store properly in draining ice bin.
100136,590.003/3-304.11-P,Food Contact with Equipment  Utensils  and Linens (P),2019-07-22 13:20:17,Pass,2019-07-22 15:48:16,HE_Pass,2019-07-22 13:20:17,Facility not performing proper warewashing for the last two days.  I observed full prep taking place at the kitchen area. Not sure what warewashing is performed for the utensils/equipment currently in use. Ensure that all food potentially contaminated is
